title,speaker,date,sermonUrl
What’s On Your Mind?,Barry Gin,2016-01-24,//35.190.93.184/sermons/20160124_sunday_barry_gin_whats_on_your_mind.mp3
How Hungry Are You?,Barry Gin,2016-01-17,//35.190.93.184/sermons/20160117_sunday_barry_gin_how_hungry_are_you.mp3
The Unexpected Savior,Geoff Ng,2016-01-10,//35.190.93.184/sermons/20160110_sunday_geoff_ng_the_unexpected_savior.mp3
"Gospel Past, Gospel Future",James Kuo,2015-12-27,//35.190.93.184/sermons/20151227_sunday_jimmy_kuo_gospel_past_gospel_future.mp3
Our Model For Stepping Out,Barry Gin,2015-12-20,//35.190.93.184/sermons/20151220_sunday_barry_gin_our_model_of_stepping_out.mp3
Wise Men from the East,Gary Hua,2015-12-13,//35.190.93.184/sermons/20151213_Mp3.mp3
Real-Life Examples of Faith,Barry Gin,2015-07-12,//35.190.93.184/sermons/20150712_sunday_barry_gin_real-life_examples_of_faith2.mp3
Walking the Line: Receiving and Responding to Grace,Vincent Bacote,2015-06-28,//35.190.93.184/sermons/20150628_walking_the_line_receiving_and_responding_to_grace2.mp3
A Vision for the Family,Barry Gin,2015-06-21,//35.190.93.184/sermons/20150621_a_vision_for_the_family2.mp3
Growing Pains Bring Growing Gains,Barry Gin,2015-06-14,//35.190.93.184/sermons/20150614_growing_pains_bring_growing_gains.mp3
"Stepping Out, or Stepping Back?",Barry Gin,2015-05-31,//35.190.93.184/sermons/20150531_sunday_barry_gin_stepping_out_or_stepping_back.mp3
The Heart of a Soldier of the Cross,Robert Martin,2015-05-24,//35.190.93.184/sermons/20150524_sunday_robert_martin_the_heart_of_a_soldier_of_the_cross.mp3
What’s On the Inside?,Barry Gin,2015-05-17,//35.190.93.184/sermons/20150517_sunday_barry_gin_what's_on_the_inside.mp3
The Incredible Power of the Gospel Unleashed Through a Yielded Messenger,Robert Martin,2015-03-15,//35.190.93.184/sermons/20150315_sunday_dr_robert_martin_the_incredible_power_of_the_gospel_unleashed_through_a_yielded_messenger.mp3
When The Spirit Comes,Barry Gin,2015-03-08,//35.190.93.184/sermons/20150308_sunday_pastor_barry_when_the_spirit_comes.mp3
